Id,StartPrice,EndPrice,Fee,AuctionCompanyId
91,0.0000,99.9900,1.0000,1
92,100.0000,199.9900,25.0000,1
93,200.0000,299.9900,50.0000,1
94,300.0000,399.9900,75.0000,1
95,400.0000,499.9900,110.0000,1
96,500.0000,549.9900,125.0000,1
97,550.0000,599.9900,130.0000,1
98,600.0000,699.9900,140.0000,1
99,700.0000,799.9900,155.0000,1
100,800.0000,899.9900,170.0000,1
101,900.0000,999.9900,185.0000,1
102,1000.0000,1199.9900,200.0000,1
103,1200.0000,1299.9900,225.0000,1
104,1300.0000,1399.9900,240.0000,1
105,1400.0000,1499.9900,250.0000,1
106,1500.0000,1599.9900,260.0000,1
107,1600.0000,1699.9900,275.0000,1
108,1700.0000,1799.9900,285.0000,1
109,1800.0000,1999.9900,300.0000,1
110,2000.0000,2399.9900,325.0000,1
111,2400.0000,2499.9900,335.0000,1
112,2500.0000,2999.9900,350.0000,1
113,3000.0000,3499.9900,400.0000,1
114,3500.0000,3999.9900,450.0000,1
115,4000.0000,4499.9900,575.0000,1
116,4500.0000,4999.9900,600.0000,1
117,5000.0000,5999.9900,625.0000,1
118,6000.0000,7499.9900,650.0000,1
119,7500.0000,9999.9900,675.0000,1
120,10000.0000,14999.9900,700.0000,1
121,15000.0000,1000000.0000,5.5000,1
122,0.0100,49.9900,1.0000,2
123,50.0000,99.9900,1.0000,2
124,100.0000,199.9900,25.0000,2
125,200.0000,299.9900,50.0000,2
126,300.0000,349.9900,75.0000,2
127,350.0000,399.9900,75.0000,2
128,400.0000,449.9900,110.0000,2
129,450.0000,499.9900,110.0000,2
130,500.0000,549.9900,125.0000,2
131,550.0000,599.9900,130.0000,2
132,600.0000,699.9900,140.0000,2
133,700.0000,799.9900,155.0000,2
134,800.0000,899.9900,170.0000,2
135,900.0000,999.9900,185.0000,2
136,1000.0000,1099.9900,200.0000,2
137,1100.0000,1199.9900,200.0000,2
138,1200.0000,1299.9900,225.0000,2
139,1300.0000,1399.9900,240.0000,2
140,1400.0000,1499.9900,250.0000,2
141,1500.0000,1599.9900,260.0000,2
142,1600.0000,1699.9900,275.0000,2
143,1700.0000,1799.9900,285.0000,2
144,1800.0000,1999.9900,300.0000,2
145,2000.0000,2199.9900,325.0000,2
146,2200.0000,2399.9900,325.0000,2
147,2400.0000,2499.9900,335.0000,2
148,2500.0000,2999.9900,350.0000,2
149,3000.0000,3499.9900,400.0000,2
150,3500.0000,3999.9900,450.0000,2
151,4000.0000,4499.9900,575.0000,2
152,4500.0000,4999.9900,600.0000,2
153,5000.0000,5999.9900,625.0000,2
154,6000.0000,7499.9900,650.0000,2
155,7500.0000,7999.9900,675.0000,2
156,8000.0000,9999.9900,675.0000,2
157,10000.0000,14999.9900,700.0000,2
158,15000.0000,1000000.0000,5.5000,2
