Id,StartPrice,EndPrice,Fee,AuctionCompanyId
10,0.0000,99.9900,0.0000,1
11,100.0000,499.9900,39.0000,1
12,500.0000,999.9900,49.0000,1
13,1000.0000,1499.9900,69.0000,1
14,1500.0000,1999.9900,79.0000,1
15,2000.0000,3999.9900,89.0000,1
16,4000.0000,5999.9900,99.0000,1
17,6000.0000,7999.9900,119.0000,1
18,8000.0000,99999999999999.0000,129.0000,1
56,0.0000,99.9900,0.0000,2
57,100.0000,499.9900,39.0000,2
58,500.0000,999.9900,49.0000,2
59,1000.0000,1499.9900,69.0000,2
60,1500.0000,1999.9900,79.0000,2
61,2000.0000,3999.9900,89.0000,2
62,4000.0000,5999.9900,99.0000,2
63,6000.0000,7999.9900,119.0000,2
64,8000.0000,99999999999999.0000,129.0000,2
