Id,Name,Port,State,Country
459,AB - CALGARY,QC,AB,US
460,AB - CALGARY SOUTH,QC,AB,US
461,AB - EDMONTON,QC,AB,US
462,AK - ANCHORAGE,N/A,AK,US
463,AL - ADESA BIRMINGHAM,GA,AL,US
464,AL - BIRMINGHAM,GA,AL,US
465,AL - DOTHAN,GA,AL,US
466,AL - EIGHT MILE,N/A,AL,US
467,AL - HUEYTOWN,N/A,AL,US
468,AL - HUNTSVILLE,GA,AL,US
469,AL - MOBILE,GA,AL,US
470,AL - MOBILE SOUTH,GA,AL,US
471,AL - MONTGOMERY,GA,AL,US
472,AL - NEWTON,N/A,AL,US
473,AL - TANNER,GA,AL,US
474,AL - THEODORE,N/A,AL,US
475,AR - CONWAY,N/A,AR,US
476,AR - FAYETTEVILLE,TX,AR,US
477,AR - LITTLE ROCK,TX,AR,US
478,AR - PRAIRIE GROVE,N/A,AR,US
479,AZ - PHOENIX,CA,AZ,US
480,AZ - TUCSON,CA,AZ,US
481,BC - VANCOUVER,QC,BC,US
482,CA - ACE - CARSON,CA,CA,US
483,CA - ACE - PERRIS,CA,CA,US
484,CA - ACE CARSON,CA,CA,US
485,CA - ACE PERRIS,CA,CA,US
486,CA - ADELANTO,CA,CA,US
487,CA - ANAHEIM,CA,CA,US
488,CA - ANTELOPE,CA,CA,US
489,CA - BAKERSFIELD,CA,CA,US
490,CA - COLTON,CA,CA,US
491,CA - CRASHEDTOYS SACRAMENTO,CA,CA,US
492,CA - D BID REPO,CA,CA,US
493,CA - EAST BAY,CA,CA,US
494,CA - FONTANA,CA,CA,US
495,CA - FREMONT,CA,CA,US
496,CA - FRESNO,CA,CA,US
497,CA - HAYWARD,CA,CA,US
498,CA - HIGH DESERT,CA,CA,US
499,CA - LONG BEACH,CA,CA,US
500,CA - LOS ANGELES,CA,CA,US
501,CA - LOS ANGELES SOUTH,CA,CA,US
502,CA - LOS_ANGELES_SOUTH,CA,CA,US
503,CA - MARTINEZ,CA,CA,US
504,CA - NORTH HOLLYWOOD,CA,CA,US
505,CA - OR EUGENE,CA,CA,US
506,CA - RANCHO CUCAMONGA,CA,CA,US
507,CA - REDDING,CA,CA,US
508,CA - SACRAMENTO,CA,CA,US
509,CA - SAN BERNARDINO,CA,CA,US
510,CA - SAN DIEGO,CA,CA,US
511,CA - SAN JOSE,CA,CA,US
512,CA - SAN MARTIN,N/A,CA,US
513,CA - SO SACRAMENTO,CA,CA,US
514,CA - SUN VALLEY,CA,CA,US
515,CA - VALLEJO,CA,CA,US
516,CA - VAN NUYS,CA,CA,US
517,CA - WILMINGTON,N/A,CA,US
518,CO - BRIGHTON,N/A,CO,US
519,CO - COLORADO SPRINGS,NJ,CO,US
520,CO - DENVER,NJ,CO,US
521,CO - DENVER CENTRAL,NJ,CO,US
522,CO - DENVER EAST,NJ,CO,US
523,CO - DENVER SOUTH,NJ,CO,US
524,CO - LITTLETON,N/A,CO,US
525,CO - WESTERN COLORADO,NJ,CO,US
526,CT - EAST GRANBY,N/A,CT,US
527,CT - HARTFORD,NJ,CT,US
528,CT - HARTFORD SOUTH,N/A,CT,US
529,CT - HARTFORD SPRINGFIELD,NJ,CT,US
530,CT - NEW BRITAIN,N/A,CT,US
531,DC - WASHINGTON DC,NJ,DC,US
532,DE - NEW CASTLE,NJ,DE,US
533,DE - SEAFORD,NJ,DE,US
534,FL - APOPKA,N/A,FL,US
535,FL - CLEARWATER,FL,FL,US
536,FL - FLORIDA,N/A,FL,US
537,FL - FORT MYERS,N/A,FL,US
538,FL - FT. Pierce,FL,FL,US
539,FL - HOMESTEAD,N/A,FL,US
540,FL - JACKSONVILLE,FL,FL,US
541,FL - JACKSONVILLE EAST,FL,FL,US
542,FL - JACKSONVILLE NORTH,FL,FL,US
543,FL - JACKSONVILLE WEST,FL,FL,US
544,FL - MIAMI,FL,FL,US
545,FL - MIAMI CENTRAL,FL,FL,US
546,FL - MIAMI NORTH,FL,FL,US
547,FL - MIAMI SOUTH,FL,FL,US
548,FL - MIDWAY,N/A,FL,US
549,FL - OCALA,FL,FL,US
551,FL - ORLANDO,FL,FL,US
552,FL - ORLANDO NORTH,FL,FL,US
553,FL - ORLANDO SOUTH,FL,FL,US
554,FL - PENSACOLA,FL,FL,US
555,FL - PUNTA GORDA,FL,FL,US
556,FL - RIVERVIEW,N/A,FL,US
557,FL - TALLAHASSEE,FL,FL,US
558,FL - TAMPA,FL,FL,US
559,FL - TAMPA NORTH,FL,FL,US
560,FL - TAMPA SOUTH,FL,FL,US
561,FL - WEST PALM BEACH,FL,FL,US
562,GA - ATLANTA,GA,GA,US
563,GA - ATLANTA EAST,GA,GA,US
564,GA - ATLANTA NORTH,GA,GA,US
565,GA - ATLANTA SOUTH,GA,GA,US
566,GA - ATLANTA WEST,GA,GA,US
567,GA - AUSTELL,N/A,GA,US
568,GA - BYRON,N/A,GA,US
569,GA - CARTERSVILLE,GA,GA,US
570,GA - CRASHEDTOYS ATLANTA,GA,GA,US
571,GA - ELLENWOOD,N/A,GA,US
572,GA - FAIRBURN,GA,GA,US
573,GA - GAINESVILLE,N/A,GA,US
574,GA - LOGANVILLE,N/A,GA,US
575,GA - MACON,GA,GA,US
576,GA - SAVANNAH,GA,GA,US
577,GA - TIFTON,N/A,GA,US
578,HI - HONOLULU,CA,HI,US
