Id,Fee,AuctionShippingId,CitiesId,UserTypesId
1186,2320.0000,8,459,1
1187,2272.0000,8,461,1
1188,1565.0000,8,464,1
1189,1565.0000,8,465,1
1190,1534.0000,8,469,1
1191,1361.0000,8,470,1
1192,1432.0000,8,471,1
1193,1541.0000,8,473,1
1194,1843.0000,8,476,1
1195,1820.0000,8,477,1
1196,1817.0000,8,479,1
1197,1855.0000,8,480,1
1198,1944.0000,8,486,1
1199,2006.0000,8,488,1
1200,1867.0000,8,489,1
1201,1810.0000,8,491,1
1202,1900.0000,8,492,1
1203,1900.0000,8,496,1
1204,1929.0000,8,497,1
1205,1722.0000,8,499,1
1206,1824.0000,8,500,1
1207,1929.0000,8,503,1
1208,1931.0000,8,505,1
1209,1828.0000,8,506,1
1210,2045.0000,8,507,1
1211,1956.0000,8,508,1
1212,1773.0000,8,509,1
1213,1874.0000,8,510,1
1214,1904.0000,8,511,1
1215,1869.0000,8,513,1
1216,1771.0000,8,514,1
1217,1939.0000,8,515,1
1218,1821.0000,8,516,1
1219,2049.0000,8,519,1
1220,1980.0000,8,520,1
1221,1963.0000,8,521,1
1222,2067.0000,8,523,1
1223,1524.0000,8,527,1
1224,1524.0000,8,529,1
1225,1607.0000,8,531,1
1226,1404.0000,8,533,1
1227,1404.0000,8,538,1
1228,1325.0000,8,541,1
1229,1355.0000,8,542,1
1230,1355.0000,8,543,1
1231,1462.0000,8,545,1
1232,1415.0000,8,546,1
1233,1415.0000,8,547,1
1234,1412.0000,8,549,1
1235,1382.0000,8,552,1
1236,1379.0000,8,553,1
1237,1440.0000,8,555,1
1238,1440.0000,8,557,1
1239,1494.0000,8,560,1
1240,1409.0000,8,561,1
1241,1553.0000,8,563,1
1242,1431.0000,8,564,1
1243,1554.0000,8,565,1
1244,1554.0000,8,566,1
1245,1533.0000,8,569,1
1246,1440.0000,8,570,1
1247,1654.0000,8,572,1
1248,1604.0000,8,575,1
1249,1499.0000,8,576,1
1250,1580.0000,8,577,1
1251,3081.0000,8,578,1
1252,1835.0000,8,580,1
1253,1820.0000,8,581,1
1254,1857.0000,8,583,1
1255,1733.0000,8,587,1
1256,1732.0000,8,588,1
1257,1766.0000,8,593,1
1258,1736.0000,8,594,1
1259,1501.0000,8,596,1
1260,1777.0000,8,597,1
1261,1715.0000,8,598,1
1262,2093.0000,8,599,1
1263,1602.0000,8,600,1
1264,1668.0000,8,601,1
1265,1762.0000,8,602,1
1266,1762.0000,8,603,1
1267,1858.0000,8,605,1
1268,1783.0000,8,606,1
1269,1708.0000,8,612,1
1270,1532.0000,8,613,1
1271,1707.0000,8,614,1
1272,1707.0000,8,617,1
1273,1707.0000,8,618,1
1274,1550.0000,8,621,1
1275,1397.0000,8,623,1
1276,1450.0000,8,626,1
1277,1535.0000,8,628,1
1278,1532.0000,8,629,1
1279,1581.0000,8,632,1
1280,1550.0000,8,633,1
1281,1450.0000,8,634,1
1282,1648.0000,8,642,1
1283,1665.0000,8,643,1
1284,1650.0000,8,644,1
1285,1685.0000,8,646,1
1286,1671.0000,8,647,1
1287,1748.0000,8,650,1
1288,2097.0000,8,651,1
1289,1701.0000,8,652,1
1290,1624.0000,8,657,1
1291,1845.0000,8,659,1
1292,1910.0000,8,660,1
1293,1834.0000,8,662,1
1294,1617.0000,8,664,1
1295,1717.0000,8,667,1
1296,1782.0000,8,668,1
1297,1792.0000,8,669,1
1298,1567.0000,8,673,1
1299,2533.0000,8,675,1
1300,2666.0000,8,676,1
1301,1567.0000,8,678,1
1302,1647.0000,8,679,1
1303,1600.0000,8,682,1
1304,1500.0000,8,683,1
1305,1680.0000,8,685,1
1306,1670.0000,8,688,1
1307,1565.0000,8,689,1
1308,1650.0000,8,690,1
1309,1630.0000,8,691,1
1310,1680.0000,8,693,1
1311,2311.0000,8,695,1
1312,1865.0000,8,698,1
1313,1740.0000,8,700,1
1314,1263.0000,8,705,1
1315,1405.0000,8,706,1
1316,1425.0000,8,707,1
1317,1263.0000,8,711,1
1318,1413.0000,8,713,1
1319,1740.0000,8,715,1
1320,1747.0000,8,716,1
1321,1659.0000,8,717,1
1322,1909.0000,8,718,1
1323,1502.0000,8,719,1
1324,1665.0000,8,722,1
1325,1445.0000,8,725,1
1326,1462.0000,8,727,1
1327,1564.0000,8,728,1
1328,1540.0000,8,729,1
1329,1677.0000,8,734,1
1330,1714.0000,8,735,1
1331,1685.0000,8,737,1
1332,1712.0000,8,738,1
1333,1712.0000,8,741,1
1334,1737.0000,8,742,1
1335,1340.0000,8,745,1
1336,1296.0000,8,748,1
1337,2160.0000,8,749,1
1338,2345.0000,8,751,1
1339,2431.0000,8,752,1
1340,1593.0000,8,755,1
1341,1500.0000,8,758,1
1342,1507.0000,8,764,1
1343,1417.0000,8,766,1
1344,1515.0000,8,768,1
1345,1451.0000,8,770,1
1346,1600.0000,8,771,1
1347,1616.0000,8,772,1
1348,1625.0000,8,773,1
1349,1558.0000,8,774,1
1350,1562.0000,8,776,1
1351,1322.0000,8,778,1
1352,1674.0000,8,780,1
1353,1637.0000,8,783,1
1354,1468.0000,8,786,1
1355,1655.0000,8,789,1
1356,1705.0000,8,790,1
1357,1715.0000,8,793,1
1358,1715.0000,8,796,1
1359,1730.0000,8,797,1
1360,1565.0000,8,798,1
1361,1765.0000,8,799,1
1362,1653.0000,8,800,1
1363,1631.0000,8,802,1
1364,1500.0000,8,803,1
1365,1464.0000,8,804,1
1366,1386.0000,8,805,1
1367,1505.0000,8,806,1
1368,1505.0000,8,807,1
1369,1278.0000,8,809,1
1370,1500.0000,8,810,1
1371,1668.0000,8,811,1
1372,1625.0000,8,813,1
1373,1460.0000,8,816,1
1374,1510.0000,8,817,1
1375,1560.0000,8,820,1
1376,1626.0000,8,822,1
1377,1636.0000,8,823,1
1378,1500.0000,8,825,1
1379,1500.0000,8,827,1
1380,1624.0000,8,829,1
1381,1630.0000,8,832,1
1382,1890.0000,8,836,1
1383,1999.0000,8,837,1
1384,1750.0000,8,838,1
1385,1662.0000,8,842,1
1386,1645.0000,8,843,1
1387,1660.0000,8,845,1
1388,1605.0000,8,848,1
1389,1655.0000,8,849,1
1390,2293.0000,8,857,1
1391,2293.0000,8,858,1
1392,2293.0000,8,859,1
1393,2576.0000,8,862,1
1394,1910.0000,8,863,1
1395,1723.0000,8,866,1
1396,1710.0000,8,868,1
1397,1760.0000,8,869,1
1398,1815.0000,8,872,1
1399,2334.0000,8,875,1
1400,2290.0000,9,460,1
1401,2324.0000,9,461,1
1402,1566.0000,9,463,1
1403,1620.0000,9,464,1
1404,1521.0000,9,465,1
1405,1609.0000,9,468,1
1406,1801.0000,9,476,1
1407,1731.0000,9,477,1
1408,1814.0000,9,479,1
1409,1728.0000,9,480,1
1410,2668.0000,9,481,1
1411,1861.0000,9,482,1
1412,1861.0000,9,483,1
1413,1920.0000,9,484,1
1414,1920.0000,9,485,1
1415,1839.0000,9,487,1
1416,1597.0000,9,490,1
1417,1949.0000,9,493,1
1418,1830.0000,9,494,1
1419,1926.0000,9,495,1
1420,1906.0000,9,496,1
1421,1595.0000,9,498,1
1422,1820.0000,9,500,1
1423,1831.0000,9,501,1
1424,1870.0000,9,502,1
1425,1830.0000,9,504,1
1426,1952.0000,9,508,1
1427,1866.0000,9,510,1
1428,1880.0000,9,520,1
1429,1995.0000,9,522,1
1430,2514.0000,9,525,1
1431,1495.0000,9,527,1
1432,1500.0000,9,528,1
1433,1547.0000,9,532,1
1434,1505.0000,9,535,1
1435,1530.0000,9,537,1
1436,1367.0000,9,538,1
1437,1480.0000,9,540,1
1438,1425.0000,9,544,1
